simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,6,2025-10-08T20:04:23.103037,1.0849434008264238,0.6066,0.125,
,7,2025-10-08T20:05:15.443975,1.040241815861623,0.6249,0.1015625,
,8,2025-10-08T20:06:07.594691,0.9555844110288437,0.657,0.1005859375,
,9,2025-10-08T20:07:00.845555,0.8995057105258771,0.6815,0.1201171875,
,10,2025-10-08T20:07:53.716155,0.8710136789425164,0.6867,0.0947265625,
,11,2025-10-08T20:09:30.960313,0.857482776900006,0.699,0.0908203125,
,12,2025-10-08T20:10:44.527191,0.851291036150258,0.7009,0.0947265625,
,13,2025-10-08T20:12:22.046657,0.7688970468985806,0.7309,0.1025390625,
,14,2025-10-08T20:13:43.044349,0.8797156507042563,0.697,0.080078125,
,0,2025-10-09T01:16:14.262809,2.4859538321282453,0.1,0.0,
,1,2025-10-09T01:18:48.823463,2.350032463195218,0.1002,0.0,
,2,2025-10-09T01:19:31.534988,2.350032463195218,0.1002,0.0,
,3,2025-10-09T01:20:06.712200,2.350032463195218,0.1002,0.0,
,4,2025-10-09T01:20:44.043123,2.350032463195218,0.1002,0.0,
,0,2025-10-09T01:21:51.394972,2.345172845633926,0.1122,0.0029296875,
,1,2025-10-09T01:28:13.521562,3.1516291381447177,0.1121,0.453125,
,2,2025-10-09T01:32:12.002453,1.8495489237414804,0.2963,0.1943359375,
,3,2025-10-09T01:36:17.658944,1.5871399876418386,0.3961,0.13671875,
,4,2025-10-09T01:40:02.988963,1.4588242192177256,0.4536,0.15234375,
,5,2025-10-09T01:43:00.066244,1.355741595766347,0.4974,0.1640625,
,0,2025-10-09T01:58:22.582332,2.457253237438809,0.1,0.0,
,1,2025-10-09T02:05:17.052248,2.584030626685756,0.1244,0.283203125,
,2,2025-10-09T02:08:52.709565,2.0404671984873,0.2376,0.3076171875,
,0,2025-10-09T02:14:25.873764,2.413149779009971,0.0997,0.095703125,
,1,2025-10-09T02:20:14.170118,2.341796346530793,0.1695,0.3427734375,
,0,2025-10-09T02:26:03.577030,2.4329810491792716,0.1007,0.0,
,1,2025-10-09T02:29:26.712507,2.553957957371025,0.1241,0.837890625,
,2,2025-10-09T02:34:51.865213,2.8500863640171707,0.1638,0.6865234375,
,3,2025-10-09T02:36:21.517331,1.5722499501173663,0.4168,0.1923828125,
,4,2025-10-09T02:38:36.994659,2.0115952104519885,0.3199,0.5419921875,
,5,2025-10-09T02:39:27.467963,1.2636272759194587,0.5386,0.3017578125,
,6,2025-10-09T02:40:15.938817,1.2105811993787243,0.5602,0.2705078125,
,7,2025-10-09T02:41:14.445443,1.1568361661236757,0.5801,0.255859375,
,8,2025-10-09T02:42:41.342872,1.2892623171684847,0.5463,0.453125,
,9,2025-10-09T02:43:27.388755,1.0640302862331366,0.6176,0.4189453125,
,10,2025-10-09T02:44:57.294470,1.1468171397591853,0.5928,0.6259765625,
,0,2025-10-09T02:46:34.334199,2.354836889133332,0.1079,0.001953125,
,1,2025-10-09T02:48:03.784371,2.2945325526462237,0.1598,0.4501953125,
,2,2025-10-09T02:49:26.965613,1.7650054465433596,0.3214,0.203125,
,3,2025-10-09T02:54:28.036965,2.661198783072696,0.1407,0.90234375,
,4,2025-10-09T02:55:42.395228,1.431546023696851,0.4538,0.1357421875,
,5,2025-10-09T02:57:01.058585,1.3765407709559059,0.4888,0.203125,
,6,2025-10-09T02:58:18.138837,1.288302422329119,0.5221,0.1533203125,
,7,2025-10-09T02:59:32.842387,1.2304799264403665,0.5487,0.1474609375,
,8,2025-10-09T03:00:52.333564,1.1804418180398881,0.5698,0.1298828125,
,9,2025-10-09T03:05:10.549073,1.450379349623516,0.4604,0.2060546875,
,10,2025-10-09T03:06:43.404328,1.0729882690557249,0.607,0.1171875,
