simulation_id,round,timestamp,dist_loss,dist_mta,dist_asr,num_clients
exp-01,1,2025-09-25T13:39:55.150081,2.040459191824629,0.24287084528920086,0.6398828561570888,10
exp-01,2,2025-09-25T13:40:57.975596,1.7446988978720388,0.34807809518495086,0.20848215323424912,10
exp-01,3,2025-09-25T13:41:56.976580,1.5019328457783114,0.4511739587481919,0.1130563688999622,10
exp-01,4,2025-09-25T13:42:55.432624,1.3854309867950751,0.49617869201869924,0.15550271840905117,10
exp-01,5,2025-09-25T13:43:53.954689,1.3047414224845486,0.5302035652781568,0.14213342445163485,10
exp-01,1,2025-09-29T00:51:29.471604,2.075991007714717,0.20820527298555805,0.8465128840838823,10
exp-01,2,2025-09-29T00:52:29.750265,1.7392897349109955,0.34844166649790387,0.08517558213747282,10
exp-01,3,2025-09-29T00:53:35.628179,1.5583814067013806,0.42509502828381357,0.1017151093517927,10
exp-01,4,2025-09-29T00:54:31.792847,1.4314470754643174,0.4802921559919179,0.11080286826205184,10
exp-01,5,2025-09-29T00:55:50.061693,1.3417973259799432,0.519926884793078,0.13119416054806493,10
exp-01,1,2025-10-01T01:10:05.262636,2.006432283274402,0.22938432992805327,0.25015962533843866,10
exp-01,2,2025-10-01T01:12:23.830530,1.706650487547573,0.36899333143547886,0.15364829338489652,10
exp-01,3,2025-10-01T01:15:06.990855,1.5376400371261258,0.43572654846912595,0.14257733369056858,10
exp-01,4,2025-10-01T01:16:41.946300,1.4017114588444501,0.4949366737918968,0.12422932191522071,10
exp-01,5,2025-10-01T01:18:19.599772,1.3242352195974962,0.5251775097159015,0.12616072930486658,10
exp-01,1,2025-10-01T02:29:59.158902,2.022940632380568,0.23652474325754297,0.2858304739748394,10
exp-01,2,2025-10-01T02:31:32.687794,1.7382630081851507,0.3526678516274453,0.04062404272693053,10
exp-01,3,2025-10-01T02:33:35.969670,1.571334508624293,0.4289079654711695,0.06300332113330212,10
exp-01,4,2025-10-01T02:34:16.711772,1.4577221643186014,0.4774184634314855,0.11276496374788256,10
exp-01,5,2025-10-01T02:35:11.129974,1.3660720252243592,0.5148711576210392,0.10969853019182882,10
exp-01,1,2025-10-08T18:42:53.706208,2.1209311524264076,0.2060424558082729,0.4858999574736811,10
exp-01,2,2025-10-08T18:43:57.308327,1.7754337650175687,0.3388182266166959,0.11395380087571154,10
exp-01,3,2025-10-08T18:44:53.348026,1.5411500760159558,0.4334156034355841,0.1129370079686047,10
