simulation_id,round,timestamp,dist_loss,dist_mta,dist_asr,num_clients
exp-01,1,2025-10-25T01:41:20.304860,2.7843060099965466,0.09725079648693419,0.0,10
exp-01,2,2025-10-25T01:41:56.791877,2.152426613572146,0.2079587284327018,0.009546543518575139,10
exp-01,1,2025-10-25T02:44:11.615034,2.838222937669497,0.08798783848946033,0.0,10
exp-01,2,2025-10-25T02:45:06.978179,2.137725720773576,0.23553238291795847,0.0,10
exp-01,3,2025-10-25T02:46:00.953157,1.5973691791955715,0.4049159596668147,0.0016153310327127826,10
exp-01,4,2025-10-25T02:46:56.392229,1.3732167110528475,0.4826940666953317,0.009903975526385247,10
exp-01,5,2025-10-25T02:47:50.048465,1.2492399213323073,0.5247931447788078,0.019875274161508086,10
exp-01,6,2025-10-25T02:48:44.510154,1.117019936517155,0.5731057990273144,0.024197715489923912,10
exp-01,7,2025-10-25T02:49:40.786041,1.08626763509643,0.6055005259095125,0.031868938514534255,10
exp-01,8,2025-10-25T02:50:35.472045,0.9922331706879686,0.6367400152995433,0.02915112841978343,10
exp-01,9,2025-10-25T02:51:29.237059,1.0490077556256574,0.6225913285727616,0.04088389740302245,10
exp-01,10,2025-10-25T02:52:27.218969,0.9146403625886815,0.6661144668345874,0.04055325913896791,10
exp-01,1,2025-10-25T02:55:05.160156,2.4825024599277863,0.09083382720749314,0.0,10
exp-01,2,2025-10-25T02:55:41.699253,2.254017633624283,0.18399157217897902,0.0,10
exp-01,3,2025-10-25T02:56:21.035833,1.5192772932976424,0.40722187434039786,0.0022994124379402984,10
exp-01,4,2025-10-25T02:56:58.333782,1.3449761528365285,0.48014881316849933,0.021664457499379158,10
exp-01,5,2025-10-25T02:57:34.845831,1.1953452816675512,0.5504606125412206,0.02350833661064749,10
exp-01,6,2025-10-25T02:58:12.637838,1.1493630208134935,0.5805137060325266,0.03095457918374104,10
exp-01,7,2025-10-25T02:58:50.690525,1.0117774180056303,0.6248345704176653,0.04141011875389879,10
exp-01,8,2025-10-25T02:59:31.397759,0.9867426692607401,0.6438465303083679,0.04738910177882662,10
