simulation_id,timestamp,aggregation,num_rounds,local_epochs,num_malicious_clients,backdoor_attack_mode,alpha,final_centralized_mta,final_centralized_asr,dist_mta_history,dist_asr_history,central_mta_history,central_asr_history,notes
exp-01,2025-10-25T01:41:56.792075,fedavg,,,10,,0.9,0.000000,0.000000,"[0.09725079648693419, 0.2079587284327018]","[0.0, 0.009546543518575139]",[],[],
exp-01,2025-10-25T02:52:27.219297,fedavg,,,10,,0.9,0.000000,0.000000,"[0.08798783848946033, 0.23553238291795847, 0.4049159596668147, 0.4826940666953317, 0.5247931447788078, 0.5731057990273144, 0.6055005259095125, 0.6367400152995433, 0.6225913285727616, 0.6661144668345874]","[0.0, 0.0, 0.0016153310327127826, 0.009903975526385247, 0.019875274161508086, 0.024197715489923912, 0.031868938514534255, 0.02915112841978343, 0.04088389740302245, 0.04055325913896791]",[],[],
